Part,Value,Device,Package,Description,PROD_ID,VALUE
C1,0.1uF,0.1UF-50V-20%(PTH)KIT-EZ,CAP-PTH-SMALL-KIT,CAP-08370,CAP-08370,
C2,18pF,0.1UF-50V-20%(PTH)KIT-EZ,CAP-PTH-SMALL-KIT,CAP-08370,CAP-08370,
C3,18pF,0.1UF-50V-20%(PTH)KIT-EZ,CAP-PTH-SMALL-KIT,CAP-08370,CAP-08370,
C4,22pF,0.1UF-50V-20%(PTH)KIT-EZ,CAP-PTH-SMALL-KIT,CAP-08370,CAP-08370,
C5,22pF,0.1UF-50V-20%(PTH)KIT-EZ,CAP-PTH-SMALL-KIT,CAP-08370,CAP-08370,
C6,22pF,0.1UF-50V-20%(PTH)KIT-EZ,CAP-PTH-SMALL-KIT,CAP-08370,CAP-08370,
C7,22pF,0.1UF-50V-20%(PTH)KIT-EZ,CAP-PTH-SMALL-KIT,CAP-08370,CAP-08370,
IC1,LDO3V3,78XXL,78XXL,VOLTAGE REGULATOR,,
ISP1,AVRISP-6,AVRISP-6,AVRISP,AVR ISP HEADER,,
JP1,M12PTH,M12PTH,1X12,Header 12,,
JP2,M12PTH,M12PTH,1X12,Header 12,,
LED1,,LED5MM,LED5MM,LEDs,,
LED2,,LED5MM,LED5MM,LEDs,,
LED3,,LED5MM,LED5MM,LEDs,,
LED4,,LED5MM,LED5MM,LEDs,,
LED5,,LED5MM,LED5MM,LEDs,,
LED6,,LED5MM,LED5MM,LEDs,,
Q1,,XTAL/S,QS,CRYSTAL,,
Q2,,MOSFET-NGDS_TO220V,TO220V,N-Channel Mosfet,,
Q3,,MOSFET-NGDS_TO220V,TO220V,N-Channel Mosfet,,
Q4,,MOSFET-NGDS_TO220V,TO220V,N-Channel Mosfet,,
R1,22,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R2,22,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R3,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R4,470,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R5,470,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R6,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R7,22k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R8,22k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R9,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R10,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R11,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R12,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R13,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R14,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R15,22,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R16,470,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R17,470,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R18,470,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
R19,470,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor,,
S1,,TAC_SWITCHPTH,TACTILE-PTH,Momentary Switch,,
U$1,ATMEGA32U4TQFP,ATMEGA32U4TQFP,SPARKFUN-DIGITALIC_TQFP44,Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller -----,,
U$2,USBPTH,USBPTH,USB-B-PTH,USB Connectors,CONN-08278,USB-B
U$3,RPI-1031,RPI-1031,RPI-1031,,,
U$4,APDS-9960,APDS-9960,APDS-9960,,,
